22:20:10.497 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
22:20:10.544 |V| DeployedPackages              | :1                 | Scanned fir /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/bin, lwtime 2023-05-21T23:04:42, metadata files (20pcs)[JetBrains.ExternalAnnotations.JetMetadata.sstg, JetBrains.Platform.Core.Ide.JetMetadata.sstg, JetBrains.Platform.Core.IisExpress.JetMetadata.sstg, JetBrains.Platform.Core.MsBuild.JetMetadata.sstg, JetBrains.Platform.Core.Shell.JetMetadata.sstg, JetBrains.Platform.Core.Text.JetMetadata.sstg, JetBrains.Platform.Interop.CommandLine.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Console.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Ide.JetMetadata.sstg, JetBrains.Platform.RdProtocol.JetMetadata.sstg, JetBrains.Psi.Features.Core.JetMetadata.sstg, JetBrains.Psi.Features.SolutionBuilder.JetMetadata.sstg, JetBrains.Psi.Features.src.JetMetadata.sstg, JetBrains.Psi.Features.Tasks.JetMetadata.sstg, JetBrains.Psi.Features.UnitTesting.JetMetadata.sstg, JetBrains.Psi.Features.Web.Core.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.CommandLineCore.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.Roslyn.JetMetadata.sstg, JetBrains.Rider.RdBackend.Common.JetMetadata.sstg, JetBrains.Rider.RiderFlow.JetMetadata.sstg], module files (266pcs)[antlr.runtime.dll, Appccelerate.StateMachine.dll, BouncyCastle.Crypto.dll, ClrStack.exe, ClrStack32.exe, CookComputing.XmlRpcV2.dll, CsLex.exe, DotNetZip.dll, ErrorsGen.exe, JetBrains.Annotations.dll, JetBrains.Build.Platform.DistributedCache.dll, JetBrains.CommandLine.Interop.dll, JetBrains.Decompiler.Core.dll, JetBrains.dotMemoryUnit.Interop.Console.dll, JetBrains.dotMemoryUnit.Interop.Ide.dll, JetBrains.FormatRipper.dll, JetBrains.ICSharpCode.SharpZipLib.dll, JetBrains.Lifetimes.dll, JetBrains.Microsoft.Diagnostics.Runtime.dll, JetBrains.MSBuild.Logger.Api.dll, JetBrains.Platform.BuildEngine.dll, JetBrains.Platform.BuildInterfaces.dll, JetBrains.Platform.ComponentModel.dll, JetBrains.Platform.Core.dll, JetBrains.Platform.DocumentManager.dll, JetBrains.Platform.DocumentModel.dll, JetBrains.Platform.Ide.dll, JetBrains.Platform.IisExpressHost.dll, JetBrains.Platform.IisExpressTask.dll, JetBrains.Platform.Interop.dll, JetBrains.Platform.Metadata.dll, JetBrains.Platform.MsBuildAutoDetectTask.dll, JetBrains.Platform.MsBuildEventLogger.dll, JetBrains.Platform.MsBuildHost.dll, JetBrains.Platform.MsBuildTask.dll, JetBrains.Platform.MsBuildTask.v15.dll, JetBrains.Platform.MsBuildTask.v17.dll, JetBrains.Platform.MsBuildTask.v4.dll, JetBrains.Platform.ProjectModel.dll, JetBrains.Platform.ProjectModel.Host.dll, JetBrains.Platform.ProjectModel.NuGet.dll, JetBrains.Platform.RdFramework.Actions.dll, JetBrains.Platform.RdFramework.Shell.dll, JetBrains.Platform.RdProtocol.dll, JetBrains.Platform.Satellite.exe, JetBrains.Platform.Shell.dll, JetBrains.Platform.Symbols.dll, JetBrains.Platform.TextControl.dll, JetBrains.Platform.Util.dll, JetBrains.Platform.Util.Text.dll, JetBrains.Profiler.Api.dll, JetBrains.Profiler.SelfApi.dll, JetBrains.Psi.Features.Tasks.Build.dll, JetBrains.RdBackend.Common.dll, JetBrains.RdFramework.dll, JetBrains.RdFramework.Reflection.dll, JetBrains.ReSharper.Daemon.BuildScripts.dll, JetBrains.ReSharper.Daemon.CSharp.dll, JetBrains.ReSharper.Daemon.dll, JetBrains.ReSharper.Daemon.Engine.dll, JetBrains.ReSharper.Daemon.Protobuf.dll, JetBrains.ReSharper.Daemon.Resx.dll, JetBrains.ReSharper.Daemon.Specific.dll, JetBrains.ReSharper.Daemon.VB.dll, JetBrains.ReSharper.Daemon.Web.dll, JetBrains.ReSharper.Daemon.Xaml.dll, JetBrains.ReSharper.Daemon.Xml.dll, JetBrains.ReSharper.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.BuildScripts.dll, JetBrains.ReSharper.Feature.Services.CSharp.dll, JetBrains.ReSharper.Feature.Services.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.CSharp.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.VB.dll, JetBrains.ReSharper.Feature.Services.Protobuf.dll, JetBrains.ReSharper.Feature.Services.RegExp.dll, JetBrains.ReSharper.Feature.Services.Resx.dll, JetBrains.ReSharper.Feature.Services.VB.dll, JetBrains.ReSharper.Feature.Services.Web.dll, JetBrains.ReSharper.Feature.Services.Xaml.dll, JetBrains.ReSharper.Feature.Services.Xml.dll, JetBrains.ReSharper.Features.Altering.dll, JetBrains.ReSharper.Features.Environment.dll, JetBrains.ReSharper.Features.Inspections.dll, JetBrains.ReSharper.Features.Intellisense.dll, JetBrains.ReSharper.Features.Intellisense.VB.dll, JetBrains.ReSharper.Features.Internal.dll, JetBrains.ReSharper.Features.Navigation.dll, JetBrains.ReSharper.Features.Navigation.VB.dll, JetBrains.ReSharper.Features.RegExp.dll, JetBrains.ReSharper.Features.ReSpeller.dll, JetBrains.ReSharper.Features.Running.dll, JetBrains.ReSharper.Features.SolBuilderDuo.dll, JetBrains.ReSharper.Features.StructuralSearch.dll, JetBrains.ReSharper.Features.Web.dll, JetBrains.ReSharper.Features.Web.Linters.dll, JetBrains.ReSharper.Features.Xml.dll, JetBrains.ReSharper.I18n.Services.Asp.CSharp.dll, JetBrains.ReSharper.I18n.Services.Asp.dll, JetBrains.ReSharper.I18n.Services.Asp.VB.dll, JetBrains.ReSharper.I18n.Services.CSharp.dll, JetBrains.ReSharper.I18n.Services.dll, JetBrains.ReSharper.I18n.Services.JavaScript.dll, JetBrains.ReSharper.I18n.Services.VB.dll, JetBrains.ReSharper.I18n.Services.Xaml.dll, JetBrains.ReSharper.InplaceRefactorings.dll, JetBrains.ReSharper.Intentions.BuildScripts.dll, JetBrains.ReSharper.Intentions.CSharp.dll, JetBrains.ReSharper.Intentions.dll, JetBrains.ReSharper.Intentions.Resx.dll, JetBrains.ReSharper.Intentions.VB.dll, JetBrains.ReSharper.Intentions.Web.dll, JetBrains.ReSharper.Intentions.Xaml.dll, JetBrains.ReSharper.Intentions.Xml.dll, JetBrains.ReSharper.LiveTemplates.dll, JetBrains.ReSharper.LiveTemplates.VB.dll, JetBrains.ReSharper.NewRefactorings.dll, JetBrains.ReSharper.Psi.BuildScripts.dll, JetBrains.ReSharper.Psi.CSharp.dll, JetBrains.ReSharper.Psi.dll, JetBrains.ReSharper.Psi.IL.dll, JetBrains.ReSharper.Psi.Protobuf.dll, JetBrains.ReSharper.Psi.RegExp.dll, JetBrains.ReSharper.Psi.Resx.dll, JetBrains.ReSharper.Psi.VB.ConstantCalculatorLib.dll, JetBrains.ReSharper.Psi.VB.dll, JetBrains.ReSharper.Psi.Web.dll, JetBrains.ReSharper.Psi.Xaml.dll, JetBrains.ReSharper.Psi.Xml.dll, JetBrains.ReSharper.Refactorings.BuildScripts.dll, JetBrains.ReSharper.Refactorings.CSharp.dll, JetBrains.ReSharper.Refactorings.Html.dll, JetBrains.ReSharper.Refactorings.VB.dll, JetBrains.ReSharper.Refactorings.Xaml.dll, JetBrains.ReSharper.Resources.dll, JetBrains.ReSharper.SolutionAnalysis.dll, JetBrains.ReSharper.TestRunner.Abstractions.dll, JetBrains.ReSharper.TestRunner.Adapters.MsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit2.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit3.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.UWP.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.VsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.XUnit.Tasks.dll, JetBrains.ReSharper.UnitTestFramework.dll, JetBrains.ReSharper.UnitTesting.Analysis.dll, JetBrains.ReSharper.UnitTesting.Analysis.VB.dll, JetBrains.ReSharper.UnitTesting.MSTest.Provider.dll, JetBrains.ReSharper.UnitTesting.VsTest.Provider.dll, JetBrains.ReSharper.UnitTestProvider.JavaScript.dll, JetBrains.ReSharper.UnitTestProvider.nUnit.dll, JetBrains.ReSharper.UnitTestProvider.Xunit.dll, JetBrains.ReSharper.UnitTestRunner.dotMemoryUnit.dll, JetBrains.ReSharper.UnitTestRunner.JavaScript.dll, JetBrains.ReSharperAutomationTools.CommandLine.Common.dll, JetBrains.RiderFlow.exe, JetBrains.Roslyn.Host.dll, JetBrains.Roslyn.Worker.exe, JetBrains.TeamCity.ServiceMessages.dll, JetBrains.Toolset.ScriptSourcesCompiler.Interface.dll, JetBrains.UsageStatistics.dll, JetLauncher32.exe, JetLauncher32c.exe, JetLauncher64.exe, JetLauncher64a.exe, JetLauncher64ac.exe, JetLauncher64c.exe, JetLauncherIL.exe, JetLauncherILc.exe, Lucene.Net.dll, Microsoft.Bcl.AsyncInterfaces.dll, Microsoft.CodeAnalysis.CSharp.dll, Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.CSharp.Features.dll, Microsoft.CodeAnalysis.CSharp.Workspaces.dll, Microsoft.CodeAnalysis.dll, Microsoft.CodeAnalysis.Elfie.dll, Microsoft.CodeAnalysis.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.Features.dll, Microsoft.CodeAnalysis.FlowAnalysis.Utilities.dll, Microsoft.CodeAnalysis.LanguageServer.Protocol.dll, Microsoft.CodeAnalysis.Scripting.dll, Microsoft.CodeAnalysis.VisualBasic.dll, Microsoft.CodeAnalysis.VisualBasic.Features.dll, Microsoft.CodeAnalysis.VisualBasic.Workspaces.dll, Microsoft.CodeAnalysis.Workspaces.dll, Microsoft.Deployment.Compression.Cab.dll, Microsoft.Deployment.Compression.dll, Microsoft.Diagnostics.NETCore.Client.dll, Microsoft.DiaSymReader.dll, Microsoft.Extensions.DependencyModel.dll, Microsoft.Owin.dll, Microsoft.Owin.FileSystems.dll, Microsoft.Owin.Host.HttpListener.dll, Microsoft.Owin.Hosting.dll, Microsoft.Owin.StaticFiles.dll, Microsoft.TestPlatform.CommunicationUtilities.dll, Microsoft.TestPlatform.CoreUtilities.dll, Microsoft.TestPlatform.PlatformAbstractions.dll, Microsoft.TestPlatform.Utilities.dll, Microsoft.TestPlatform.VsTestConsole.TranslationLayer.dll, Microsoft.VisualBasic.dll, Microsoft.VisualStudio.TestPlatform.Common.dll, Microsoft.VisualStudio.TestPlatform.ObjectModel.dll, Microsoft.Web.XmlTransform.dll, monodoc.dll, Newtonsoft.Json.dll, NuGet.Commands.dll, NuGet.Common.dll, NuGet.Configuration.dll, NuGet.Core.dll, NuGet.Credentials.dll, NuGet.DependencyResolver.Core.dll, NuGet.Frameworks.dll, NuGet.LibraryModel.dll, NuGet.PackageManagement.dll, NuGet.Packaging.dll, NuGet.ProjectModel.dll, NuGet.Protocol.dll, NuGet.Resolver.dll, NuGet.Versioning.dll, NVelocity.dll, OperatorsResolveCacheGenerator.exe, Owin.dll, PsiGen.exe, Sprache.dll, SQLitePCLRaw.core.dll, System.Buffers.dll, System.CodeDom.dll, System.Collections.Immutable.dll, System.Composition.AttributedModel.dll, System.Composition.Convention.dll, System.Composition.Hosting.dll, System.Composition.Runtime.dll, System.Composition.TypedParts.dll, System.Configuration.ConfigurationManager.dll, System.Design.dll, System.Diagnostics.EventLog.dll, System.Drawing.Common.dll, System.Drawing.dll, System.IO.FileSystem.AccessControl.dll, System.IO.Ports.dll, System.Memory.dll, System.Numerics.Vectors.dll, System.Reflection.Metadata.dll, System.Runtime.CompilerServices.Unsafe.dll, System.Runtime.InteropServices.RuntimeInformation.dll, System.Security.AccessControl.dll, System.Security.Cryptography.ProtectedData.dll, System.Security.Permissions.dll, System.Security.Principal.Windows.dll, System.ServiceModel.dll, System.ServiceProcess.ServiceController.dll, System.Text.Encoding.CodePages.dll, System.Threading.AccessControl.dll, System.Threading.Channels.dll, System.Threading.Tasks.Extensions.dll, TokenGenerator.exe, UIAutomationClient.dll, UIAutomationProvider.dll, UIAutomationTypes.dll, Vestris.ResourceLib.dll, WindowsFormsIntegration.dll, xunit.abstractions.dll, xunit.dll, xunit.runner.utility.net452.dll, YamlDotNet.dll], NuGet files (0pcs)[].
22:20:10.545 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix).
22:20:10.545 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix) has the value /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/Plugins/pluginsInfo.xml.
22:20:10.545 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE_PID_000001AE (PID-specific).
22:20:10.545 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE_PID_000001AE (PID-specific) has no value.
22:20:10.545 |V| EnvironmentVariablesUtil      | :1                 | Only one environment variable is set, no conflict, using its value for additional packages.
22:20:10.564 |V| AdditionalDeployedPackages    | :1                 | Additional Ad-Hoc Application Package: unity version 2023.1.0.21 by com.intellij.resharper (<NULL>) at /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/Plugins/Unity; built on 2023-02-24T21:39:34.0000000, best before <n/a>, BD <n/a>; files: (4pcs)[“@JetBrains.ReSharper.Plugins.Json.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Unity.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Unity.RiderFlow.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Yaml.dll (whatever assembly)”].
22:20:10.631 |V| DeployedPackages              | :1                 | Trying to load cache for “Identity for (2pcs)[“Discovered Folder /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/bin”, “Discovered Folder /home/olaf/Documents/air/robotic_arm/robotic_arm/Library/RiderFlow/2023.1.0.21/Backend~/Plugins/Unity”]” from file /home/olaf/.var/app/com.unity.UnityHub/cache/tmp/JetBrainsPerUserTemp-1000-1/JetBrains/Shared/v223/DeployedPackages/CatalogAndComponents.0x84258BCEDDB47E047228CDEBE90951BF_Core.dmp.
22:20:10.641 |V| CatalogTables                 | :1                 | Catalog Tables created at 00007F9582406FFC size 12,604,472.
22:20:10.677 |V| AppDomainAssembliesResolver   | :1                 | << (Opening) AppDomainAssembliesResolver
22:20:10.683 |V| JetEnvironment                | :1                 | FullPartCatalogSet: to enable tracing all known components in FullPartCatalogSet, enable TRACE level for this log category (JetBrains.Application.Environment.JetEnvironment).
22:20:10.683 |V| JetEnvironment                | :1                 | FullPartCatalogSet ready.
22:20:10.683 |V| JetEnvironment                | :1                 | Requesting ActiveEnvironmentZones.
22:20:10.684 |V| JetHostParametersCaller       | :1                 | Querying 1 mixins of type IHaveEnvironmentZoneHostMixin for Environment module zones.
22:20:10.707 |V| JetHostParametersCaller       | :1                 | Mixin JetBrains.Application.Environment.HostParameters.EnvironmentZoneHostMixin adds Module Zone JetBrains.RiderFlow.Product.IRiderFlowProductEnvironmentZone.
22:20:10.707 |V| JetHostParametersCaller       | :1                 | Done querying 1 mixins of type IHaveEnvironmentZoneHostMixin for Environment module zones.
22:20:10.720 |V| AutoselectZoneAttribute       | :1                 | Autoselected module zone JetBrains.Application.BuildScript.Application.Zones.ISinceClr4HostZone by the 4 value of the AutoselectZoneByClrVersionAttribute attribute.
22:20:10.720 |V| JetEnvironmentAvailableZones  | :1                 | Autoselecting Module Zone by Runtime version: JetBrains.Application.BuildScript.Application.Zones.ISinceClr4HostZone.
22:20:10.721 |V| AutoselectZoneAttribute       | :1                 | Autoselected module zone JetBrains.Application.BuildScript.Application.Zones.IX64CpuArchitectureHostZone by the 1 value of the AutoselectZoneByCpuArchitectureAttribute attribute.
22:20:10.721 |V| JetEnvironmentAvailableZones  | :1                 | Autoselecting Module Zone by CPU: JetBrains.Application.BuildScript.Application.Zones.IX64CpuArchitectureHostZone.
22:20:10.721 |V| AutoselectZoneAttribute       | :1                 | Autoselected module zone JetBrains.Application.BuildScript.Application.Zones.ILinuxHostZone by the 0 value of the AutoselectZoneByOsAttribute attribute.
22:20:10.721 |V| JetEnvironmentAvailableZones  | :1                 | Autoselecting Module Zone by OS: JetBrains.Application.BuildScript.Application.Zones.ILinuxHostZone.
22:20:10.722 |V| AutoselectZoneAttribute       | :1                 | Autoselected module zone JetBrains.Application.BuildScript.Application.Zones.INetCoreHostZone by the 2 value of the AutoselectZoneByClrImplementationAttribute attribute.
22:20:10.722 |V| JetEnvironmentAvailableZones  | :1                 | Autoselecting Module Zone by CLR implementation: JetBrains.Application.BuildScript.Application.Zones.INetCoreHostZone.
22:20:10.723 |V| JetEnvironmentAvailableZones  | :1                 | Creating JetEnvironmentConfiguration with 5 module zones.
22:20:10.724 |V| JetEnvironmentAvailableZones  | :1                 | Environment Module Zone: “JetBrains.RiderFlow.Product.IRiderFlowProductEnvironmentZone, JetBrains.RiderFlow, Version=777.0.0.0, Culture=neutral, PublicKeyToken=1010a0d8d6380325”.
22:20:10.724 |V| JetEnvironmentAvailableZones  | :1                 | Environment Module Zone: “JetBrains.Application.BuildScript.Application.Zones.ISinceClr4HostZone, JetBrains.Platform.Shell, Version=777.0.0.0, Culture=neutral, PublicKeyToken=1010a0d8d6380325”.
22:20:10.724 |V| JetEnvironmentAvailableZones  | :1                 | Environment Module Zone: “JetBrains.Application.BuildScript.Application.Zones.IX64CpuArchitectureHostZone, JetBrains.Platform.Shell, Version=777.0.0.0, Culture=neutral, PublicKeyToken=1010a0d8d6380325”.
22:20:10.724 |V| JetEnvironmentAvailableZones  | :1                 | Environment Module Zone: “JetBrains.Application.BuildScript.Application.Zones.ILinuxHostZone, JetBrains.Platform.Shell, Version=777.0.0.0, Culture=neutral, PublicKeyToken=1010a0d8d6380325”.
22:20:10.724 |V| JetEnvironmentAvailableZones  | :1                 | Environment Module Zone: “JetBrains.Application.BuildScript.Application.Zones.INetCoreHostZone, JetBrains.Platform.Shell, Version=777.0.0.0, Culture=neutral, PublicKeyToken=1010a0d8d6380325”.
22:20:10.724 |V| JetEnvironment                | :1                 | ActiveEnvironmentZones ready.
22:20:10.724 |V| JetEnvironment                | :1                 | Filtering initial EnvironmentPartCatalogSet.
22:20:10.732 |V| JetEnvironment                | :1                 | EnvironmentPartCatalogSet: to enable tracing all known components in EnvironmentPartCatalogSet, enable TRACE level for this log category (JetBrains.Application.Environment.JetEnvironment).
22:20:10.732 |V| JetEnvironment                | :1                 | FullPartCatalogSet → EnvironmentPartCatalogSet: to enable tracing components which were in FullPartCatalogSet but did not make it into EnvironmentPartCatalogSet, enable TRACE level for this log category (JetBrains.Application.Environment.JetEnvironment).
22:20:10.732 |V| JetEnvironment                | :1                 | Initial EnvironmentPartCatalogSet filter is set up.
22:20:10.732 |V| JetEnvironment                | :1                 | Creating container on env catalog.
22:20:10.756 |V| JetScheduler                  | JetPool Manager:8  | Thread 'JetPool Manager' started
22:20:10.758 |V| JetDispatcher                 | StaExecutor:9      | Thread StaExecutor:9 pwned.
22:20:10.762 |V| ComponentStorage              | :1                 | JetEnvironment created
22:20:10.784 |V| CatalogComponentSource        | :1                 | Created a CatalogComponentSource for container “Container: JetEnvironment”. To trace eligible components set, enable TRACE level for this log category (JetBrains.Application.Extensibility.CatalogComponentSource).
22:20:10.785 |V| JetEnvironment                | :1                 | Publishing context to the container.
22:20:10.796 |V| JetEnvironment                | :1                 | Wired up the Environment container, composing now.
22:20:10.879 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ROAMING_APPDATA_DIR (no PID suffix).
22:20:10.879 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ROAMING_APPDATA_DIR (no PID suffix) has no value.
22:20:10.879 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ROAMING_APPDATA_DIR_PID_000001AE (PID-specific).
22:20:10.879 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ROAMING_APPDATA_DIR_PID_000001AE (PID-specific) has no value.
22:20:10.879 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.921 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #1
22:20:10.922 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #2
22:20:10.923 |V| JetScheduler                  | JetPool(S) #1:14   | Thread 'JetPool(S) #1' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
22:20:10.923 |V| JetScheduler                  | JetPool(S) #2:15   | Thread 'JetPool(S) #2' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE (no PID suffix).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE (no PID suffix) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE_PID_000001AE (PID-specific).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE_PID_000001AE (PID-specific) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG (no PID suffix).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG (no PID suffix) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_PID_000001AE (PID-specific).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_PID_000001AE (PID-specific) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE_PID_000001AE (PID-specific).
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE_PID_000001AE (PID-specific) has no value.
22:20:10.930 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE (no PID suffix).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE (no PID suffix) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE_PID_000001AE (PID-specific).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE_PID_000001AE (PID-specific) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG (no PID suffix).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG (no PID suffix) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_PID_000001AE (PID-specific).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_PID_000001AE (PID-specific) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE_PID_000001AE (PID-specific).
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE_PID_000001AE (PID-specific) has no value.
22:20:10.931 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:20:10.942 |V| JetDispatcher                 | FileSystemTrackerCommit:16 | Thread FileSystemTrackerCommit:16 pwned.
22:20:10.943 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /home/olaf/.var/app/com.unity.UnityHub/cache/tmp/JetBrainsPerUserTemp-1000-1: Temp folder
22:20:10.943 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /home/olaf/.var/app/com.unity.UnityHub/cache/tmp/JetBrainsPerUserTemp-1000-1/JetBrains: CompanySpecificFolderLocations.TempFolder
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /: Drive root
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /usr: Drive root
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /app: Drive root
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /app/lib/i386-linux-gnu: Drive root
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /usr/lib/x86_64-linux-gnu/GL: Drive root
22:20:10.944 |V| FileSystemTrackerImpl         | :1                 | DoNotListenToTheWholeFolder /usr/lib/x86_64-linux-gnu/GL/default: Drive root
