22:22:18.926 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:38:25.634 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
22:38:25.635 |I| Launcher                       | :1                             | Subscribing for events
22:38:25.636 |I| Launcher                       | :1                             | Start running backend
22:38:25.828 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:38:25.828 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:38:27.954 |V| Launcher                       | :1                             | Ready!
22:39:37.787 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
22:39:38.021 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
22:39:38.022 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
22:39:38.022 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
22:39:38.023 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
22:39:38.023 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
22:39:38.024 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1294
22:39:38.025 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | ServerSocket-UnityServer: terminated.
22:39:38.025 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
22:39:41.352 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:39:41.375 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:39:41.391 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:39:41.393 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:39:41.394 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:39:41.395 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 39569
22:39:41.396 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | ServerSocket-UnityServer : accepting, port: 39569
22:39:42.861 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | ServerSocket-UnityServer : accepted
22:39:42.862 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | ServerSocket-UnityServer : connected
22:39:42.864 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:37 | RESUME :: state=AsyncProcessing
22:39:44.905 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:39:44.907 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
22:39:44.908 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
22:39:44.909 |I| Launcher                       | :1                             | Subscribing for events
22:39:44.910 |I| Launcher                       | :1                             | Start running backend
22:39:45.263 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:39:45.264 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:39:46.986 |V| Launcher                       | :1                             | Ready!
00:37:50.236 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
00:37:50.239 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
00:37:50.248 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
00:37:50.248 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
00:37:50.248 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
00:37:50.249 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
00:37:50.250 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
00:37:50.250 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:37 | ServerSocket-UnityServer: terminated.
00:37:50.251 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
00:37:52.529 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:37:52.540 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:37:52.547 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:37:52.549 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:37:52.550 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:37:52.550 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 39517
00:37:52.551 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | ServerSocket-UnityServer : accepting, port: 39517
00:37:54.300 |I| Launcher                       | :1                             | Creating Root ScriptableObject
00:37:54.302 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
00:37:54.302 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
00:37:54.303 |I| Launcher                       | :1                             | Subscribing for events
00:37:54.304 |I| Launcher                       | :1                             | Start running backend
00:37:54.392 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
00:37:54.393 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
00:37:54.517 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | ServerSocket-UnityServer : accepted
00:37:54.518 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | ServerSocket-UnityServer : connected
00:37:54.548 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:52 | RESUME :: state=AsyncProcessing
00:37:55.233 |V| Launcher                       | :1                             | Ready!
00:38:35.817 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
00:38:35.856 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
00:38:35.856 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
00:38:35.857 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
00:38:35.857 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
00:38:35.857 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
00:38:35.859 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
00:38:35.859 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:52 | ServerSocket-UnityServer: terminated.
00:38:35.859 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
00:38:37.358 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:38:37.370 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:38:37.378 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:38:37.379 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:38:37.380 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:38:37.380 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 33771
00:38:37.381 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : accepting, port: 33771
00:38:38.734 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : accepted
00:38:38.734 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : connected
00:38:38.738 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:58 | RESUME :: state=AsyncProcessing
00:38:39.090 |I| Launcher                       | :1                             | Creating Root ScriptableObject
00:38:39.092 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
00:38:39.092 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
00:38:39.093 |I| Launcher                       | :1                             | Subscribing for events
00:38:39.094 |I| Launcher                       | :1                             | Start running backend
00:38:39.173 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
00:38:39.173 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
00:38:39.941 |V| Launcher                       | :1                             | Ready!
00:41:58.628 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
00:41:58.656 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
00:41:58.657 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
00:41:58.657 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
00:41:58.657 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
00:41:58.658 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
00:41:58.658 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1294
00:41:58.659 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer: terminated.
00:41:58.659 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
00:42:00.121 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:42:00.131 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:42:00.138 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:42:00.139 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:42:00.140 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:42:00.140 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 32985
00:42:00.141 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | ServerSocket-UnityServer : accepting, port: 32985
00:42:01.672 |I| Launcher                       | :1                             | Creating Root ScriptableObject
00:42:01.673 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
00:42:01.674 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
00:42:01.674 |I| Launcher                       | :1                             | Subscribing for events
00:42:01.675 |I| Launcher                       | :1                             | Start running backend
00:42:01.698 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | ServerSocket-UnityServer : accepted
00:42:01.704 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | ServerSocket-UnityServer : connected
00:42:01.706 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:65 | RESUME :: state=AsyncProcessing
00:42:02.301 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
00:42:02.301 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
00:42:02.419 |V| Launcher                       | :1                             | Ready!
00:42:05.929 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
00:42:05.936 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
00:42:05.937 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
00:42:05.937 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
00:42:05.937 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
00:42:05.938 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
00:42:05.939 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
00:42:05.939 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:65 | ServerSocket-UnityServer: terminated.
00:42:05.939 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
00:42:07.244 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:42:07.254 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:42:07.261 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:42:07.263 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:42:07.264 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:42:07.264 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 39085
00:42:07.265 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | ServerSocket-UnityServer : accepting, port: 39085
00:42:07.729 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | ServerSocket-UnityServer : accepted
00:42:07.729 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | ServerSocket-UnityServer : connected
00:42:07.734 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:71 | RESUME :: state=AsyncProcessing
00:42:08.954 |I| Launcher                       | :1                             | Creating Root ScriptableObject
00:42:08.956 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
00:42:08.957 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
00:42:08.957 |I| Launcher                       | :1                             | Subscribing for events
00:42:08.958 |I| Launcher                       | :1                             | Start running backend
00:42:09.025 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
00:42:09.025 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
00:42:10.086 |V| Launcher                       | :1                             | Ready!
00:43:06.700 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
00:43:06.728 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
00:43:06.729 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
00:43:06.729 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
00:43:06.729 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
00:43:06.729 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
00:43:06.730 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
00:43:06.730 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:71 | ServerSocket-UnityServer: terminated.
00:43:06.731 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
00:43:08.287 |I| Launcher                       | :1                             | Checking if build hasn't expired.
00:43:08.297 |I| Launcher                       | :1                             | Starting RiderFlow frontend
00:43:08.304 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
00:43:08.305 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
00:43:08.306 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
00:43:08.306 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 39199
00:43:08.308 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | ServerSocket-UnityServer : accepting, port: 39199
00:43:10.038 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | ServerSocket-UnityServer : accepted
00:43:10.038 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | ServerSocket-UnityServer : connected
00:43:10.041 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:80 | RESUME :: state=AsyncProcessing
00:43:10.155 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | System.Threading.ThreadAbortException: Thread was being aborted.
  at (wrapper managed-to-native) System.Net.Sockets.Socket.Receive_icall(intptr,byte*,int,System.Net.Sockets.SocketFlags,int&,bool)
  at System.Net.Sockets.Socket.Receive_internal (System.Net.Sockets.SafeSocketHandle safeHandle, System.Byte* buffer, System.Int32 count, System.Net.Sockets.SocketFlags flags, System.Int32& error, System.Boolean blocking) [0x0000c] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at System.Net.Sockets.Socket.Receive (System.Byte[] buffer, System.Int32 offset, System.Int32 size, System.Net.Sockets.SocketFlags socketFlags, System.Net.Sockets.SocketError& errorCode) [0x0002e] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at System.Net.Sockets.Socket.Receive (System.Byte[] buffer, System.Int32 offset, System.Int32 size, System.Net.Sockets.SocketFlags socketFlags) [0x00000] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiveFromSocket (System.Byte[] buffer, System.Int32 offset, System.Int32 size) [0x00006] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver, System.Int32 size) [0x000a1] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver) [0x00000] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiveFromPkgBuffer (System.Byte[] buffer, System.Int32 offset, System.Int32 size) [0x0003b] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver, System.Int32 size) [0x000a1] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver) [0x00000] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReadMsg () [0x00021] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiverProc (System.Net.Sockets.Socket socket) [0x0006c] in <430db715e7c649b38f82ebaf8e15cd26>:0 
00:43:10.158 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:80 | PAUSE ('Disconnected') :: state=AsyncProcessing
00:43:10.159 |E|                                | ServerSocket-UnityServer-Receiver:80 | System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiverProc (System.Net.Sockets.Socket socket) [0x00163] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base+<>c__DisplayClass19_0.<.ctor>b__1 (System.Net.Sockets.Socket socket) [0x0005c] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Collections.Viewable.SignalBase`1[T].Fire (T value) [0x00033] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
00:43:10.159 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:80 | ServerSocket-UnityServer :: System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Collections.Viewable.SignalBase`1[T].Fire (T value) [0x0004a] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
