01:04:51.018 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 2412
01:04:52.326 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.327 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Assembly-CSharp-Editor.csproj
01:04:52.327 |I| Build                          | RequestBuilder thread:10       | Start build 'Assembly-CSharp-Editor.csproj' with 1 target frameworks
01:04:52.330 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.331 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Shared.Editor.csproj
01:04:52.331 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Shared.Editor.csproj' with 1 target frameworks
01:04:52.333 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.334 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.Timeline.csproj
01:04:52.334 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Timeline.csproj' with 1 target frameworks
01:04:52.337 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.337 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\JetBrains.Frontend.2021.2.csproj
01:04:52.338 |I| Build                          | RequestBuilder thread:10       | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
01:04:52.340 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.341 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.Timeline.Editor.csproj
01:04:52.341 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Timeline.Editor.csproj' with 1 target frameworks
01:04:52.349 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.351 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.State.Editor.csproj
01:04:52.351 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.State.Editor.csproj' with 1 target frameworks
01:04:52.353 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.599 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'UnityEditor.TestRunner.csproj': Success
01:04:52.599 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'UnityEditor.TestRunner.csproj': Success
01:04:52.627 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'UnityEngine.UI.csproj': Success
01:04:52.627 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'UnityEngine.UI.csproj': Success
01:04:52.661 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'UnityEditor.UI.csproj': Success
01:04:52.661 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'UnityEditor.UI.csproj': Success
01:04:52.670 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.EditorCoroutines.Editor.csproj': Success
01:04:52.670 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.EditorCoroutines.Editor.csproj': Success
01:04:52.674 |I| Build                          | .NET ThreadPool Worker:18      | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj': Success
01:04:52.674 |I| Build                          | .NET ThreadPool Worker:18      | Finish build project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj': Success
01:04:52.678 |I| Build                          | .NET ThreadPool Worker:9       | Finish build part [1/1] for project 'Unity.PlasticSCM.Editor.csproj': Success
01:04:52.678 |I| Build                          | .NET ThreadPool Worker:9       | Finish build project 'Unity.PlasticSCM.Editor.csproj': Success
01:04:52.693 |I| Build                          | .NET ThreadPool Worker:18      | Finish build part [1/1] for project 'Unity.Settings.Editor.csproj': Success
01:04:52.693 |I| Build                          | .NET ThreadPool Worker:18      | Finish build project 'Unity.Settings.Editor.csproj': Success
01:04:52.703 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Unity.Rider.Editor.csproj': Success
01:04:52.703 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Unity.Rider.Editor.csproj': Success
01:04:52.713 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj': Success
01:04:52.713 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj': Success
01:04:52.714 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.Performance.Profile-Analyzer.Editor.csproj': Success
01:04:52.714 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.Performance.Profile-Analyzer.Editor.csproj': Success
01:04:52.733 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.VisualScripting.Core.csproj': Success
01:04:52.733 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.VisualScripting.Core.csproj': Success
01:04:52.739 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'JetBrains.Frontend.2021.2.csproj': Success
01:04:52.739 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'JetBrains.Frontend.2021.2.csproj': Success
01:04:52.746 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Unity.VSCode.Editor.csproj': Success
01:04:52.746 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Unity.VSCode.Editor.csproj': Success
01:04:52.751 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.TextMeshPro.csproj': Success
01:04:52.751 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.TextMeshPro.csproj': Success
01:04:52.764 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.VisualStudio.Editor.csproj': Success
01:04:52.764 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.VisualStudio.Editor.csproj': Success
01:04:52.769 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.TextMeshPro.Editor.csproj': Success
01:04:52.769 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.TextMeshPro.Editor.csproj': Success
01:04:52.790 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.Timeline.csproj': Success
01:04:52.790 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.Timeline.csproj': Success
01:04:52.817 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.TestTools.CodeCoverage.Editor.csproj': Success
01:04:52.817 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.TestTools.CodeCoverage.Editor.csproj': Success
01:04:52.828 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Unity.Timeline.Editor.csproj': Success
01:04:52.828 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Unity.Timeline.Editor.csproj': Success
01:04:52.834 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Unity.CollabProxy.Editor.csproj': Success
01:04:52.834 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Unity.CollabProxy.Editor.csproj': Success
01:04:52.841 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.VisualScripting.Flow.csproj': Success
01:04:52.841 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.VisualScripting.Flow.csproj': Success
01:04:52.844 |I| Build                          | .NET ThreadPool Worker:7       | Finish build part [1/1] for project 'Unity.VisualScripting.State.csproj': Success
01:04:52.844 |I| Build                          | .NET ThreadPool Worker:7       | Finish build project 'Unity.VisualScripting.State.csproj': Success
01:04:52.852 |I| Build                          | .NET ThreadPool Worker:20      | Finish build part [1/1] for project 'Unity.VisualScripting.Core.Editor.csproj': Success
01:04:52.852 |I| Build                          | .NET ThreadPool Worker:20      | Finish build project 'Unity.VisualScripting.Core.Editor.csproj': Success
01:04:52.856 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Unity.VisualScripting.Flow.Editor.csproj': Success
01:04:52.856 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Unity.VisualScripting.Flow.Editor.csproj': Success
01:04:52.861 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Unity.VisualScripting.Shared.Editor.csproj': Success
01:04:52.861 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Unity.VisualScripting.Shared.Editor.csproj': Success
01:04:52.864 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Unity.VisualScripting.SettingsProvider.Editor.csproj': Success
01:04:52.864 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Unity.VisualScripting.SettingsProvider.Editor.csproj': Success
01:04:52.867 |I| Build                          | .NET ThreadPool Worker:25      | Finish build part [1/1] for project 'Unity.VisualScripting.State.Editor.csproj': Success
01:04:52.867 |I| Build                          | .NET ThreadPool Worker:25      | Finish build project 'Unity.VisualScripting.State.Editor.csproj': Success
01:04:52.890 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Assembly-CSharp.csproj': Success
01:04:52.890 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Assembly-CSharp.csproj': Success
01:04:52.896 |I| Build                          | .NET ThreadPool Worker:23      | Finish build part [1/1] for project 'Assembly-CSharp-Editor.csproj': Success
01:04:52.896 |I| Build                          | .NET ThreadPool Worker:23      | Finish build project 'Assembly-CSharp-Editor.csproj': Success
